iata_code,lat,lon
LHW,36.06,103.84
LHW,36.52,103.62
TNA,36.67,117.0
TNA,36.86,117.21
WIL,-1.32,36.81
OPO,41.15,-8.61
OPO,41.25,-8.68
REC,-8.13,-34.92
REC,-8.05,-34.88
HET,40.81,111.65
HET,40.85,111.82
